"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114","篡改 totalAmount=0.01 → 支付单金额仍为服务端重算值","","2026-09-02","passed","2026-09-02","TestPayAmountRecalc","test_pay","",""
"","17","power=0 访问后台接口 → HTTP 403 + X-Forbidden-Reason=power","","2026-09-02","passed","2026-09-02","TestHttpSemantics","test_auth","",""
"","69","已支付订单再次支付 → ADD_ERR(10005)","","2026-09-02","passed","2026-09-02","TestPayPreconditions","test_pay","",""
"","91","错误密码 → PASSWORD_ERR(20002)","","2026-09-02","passed","2026-09-02","TestLogin","test_auth","",""
"","59","客户删除他人订单 → POWER_ERR(20008)","","2026-09-02","passed","2026-09-02","TestOrderOwnership","test_order","",""
"","49","客户支付他人订单 → ADD_ERR(10005) 归属校验失败","","2026-09-02","passed","2026-09-02","TestPayPreconditions","test_pay","",""
"","38","产品下单 num=3 → 库存减 3，订单 status=0（待支付）","","2026-09-02","passed","2026-09-02","TestProductOrderFlow","test_order","",""
"","85","删除未支付土地订单 → land.status 回滚为 1（放地）","","2026-09-02","passed","2026-09-02","TestLandOrderFlow","test_order","",""
"","62","删除未支付产品订单 → 库存回补","","2026-09-02","passed","2026-09-02","TestProductOrderFlow","test_order","",""
"","4","码表键集合一致：Java 与 JS 无缺失、无多余","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"","68","支付成功 → Redis 存 out_trade_no→orderIds 映射（TTL 30 分钟）","","2026-09-02","passed","2026-09-02","TestPayAmountRecalc","test_pay","",""
"","89","公开接口免认证：/land/page 无 token → HTTP 200","","2026-09-02","passed","2026-09-02","TestHttpSemantics","test_auth","",""
"","0","码表内部无重值（不同业务含义不得共用数值）","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"","5","无 token 访问受保护接口 → HTTP 401","","2026-09-02","passed","2026-09-02","TestHttpSemantics","test_auth","",""
"","0","锚点常量取值锁定：SUCCESS=0 / FAILURE=-1","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"","1","isSuccess 成功白名单两端一致","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"","106","土地下单 → land.status 置 0（锁地），订单 uid 强制为本人","","2026-09-02","passed","2026-09-02","TestLandOrderFlow","test_order","",""
"","1","isSuccess 白名单中的名称均存在于码表","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"134 段用例运行前后，seed 的 199 段账号数据保持不变（防误删护栏）。","34","seed 账号不受临时账号增删影响","","2026-09-02","passed","2026-09-02","TestRegisterSecurity","test_user","",""
"","93","手机号已注册 → 返回 PHONE_EXIST(20007)","","2026-09-02","passed","2026-09-02","TestRegisterSecurity","test_user","",""
"","33","已锁定土地重复下单 → ADD_ERR(10005)","","2026-09-02","passed","2026-09-02","TestLandOrderFlow","test_order","",""
"","411","正确账密 → LOGIN_OK(20005)，token 位于 msg 字段","","2026-09-02","passed","2026-09-02","TestLogin","test_auth","",""
"","10","伪造 token → HTTP 401","","2026-09-02","passed","2026-09-02","TestHttpSemantics","test_auth","",""
"","8","支付不存在的订单 → ADD_ERR(10005)","","2026-09-02","passed","2026-09-02","TestPayPreconditions","test_pay","",""
"修复前：客户端 power 原样入库，传 power=2 即成管理员（高危）。

        断言三层：注册成功 + 库内字段被强制重置 + 新账号无法访问后台接口。
        ","187","注册携带 power=2 → 服务端强制入库 power=0（提权回归）","","2026-09-02","passed","2026-09-02","TestRegisterSecurity","test_user","",""
"不带任何恶意字段的正常注册，也应落入相同的默认值（白盒对照）。","98","正常注册 → 入库仅基础字段，power/status/debt 取服务端默认值","","2026-09-02","passed","2026-09-02","TestRegisterSecurity","test_user","",""
"","17","错误验证码 → CODE_ERR(30003)","","2026-09-02","passed","2026-09-02","TestLogin","test_auth","",""
"","226","power=1 员工可访问后台接口 → HTTP 200","","2026-09-02","passed","2026-09-02","TestHttpSemantics","test_auth","",""
"","137","updatedToken 滑动续期：受保护接口响应头返回新 token 且可用","","2026-09-02","passed","2026-09-02","TestTokenRefresh","test_auth","",""
"","1","getCodeMessage 消息映射覆盖全部状态码","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"","97","邮箱已注册 → 返回 MAIL_EXIST","","2026-09-02","passed","2026-09-02","TestRegisterSecurity","test_user","",""
"","1","同名状态码取值一致（逐键比对）","","2026-09-02","passed","2026-09-02","TestCodeTableContract","test_contract","",""
"","17","超库存下单 → ADD_ERR(10005)，库存不变","","2026-09-02","passed","2026-09-02","TestProductOrderFlow","test_order","",""
"","8","不存在的账号 → PHONE_NO_EXIST(20001)","","2026-09-02","passed","2026-09-02","TestLogin","test_auth","",""
